Celsius; ℃; (1.80 * C + 32); (C + 273.15)
Fahrenheit; ℉; (F - 32)/1.8; (5/9 * (F - 32) + 273.15)
Kelvin; K; (K - 273.15); (1.8 * (K - 273) + 32)
